season,date,home_team,away_team,scorer,scorer_team,goals
20152016,2015-11-19,Boston Bruins,Minnesota Wild,Loui Eriksson,Boston Bruins,3
20152016,2015-11-21,Florida Panthers,New York Rangers,Rick Nash,New York Rangers,3
20152016,2015-11-21,Vancouver Canucks,Chicago Blackhawks,Daniel Sedin,Vancouver Canucks,3
20152016,2015-11-28,Arizona Coyotes,Ottawa Senators,Mikkel Boedker,Arizona Coyotes,3
20152016,2015-12-04,Calgary Flames,Boston Bruins,Johnny Gaudreau,Calgary Flames,3
20152016,2015-12-05,Detroit Red Wings,Nashville Predators,Shea Weber,Nashville Predators,3
20152016,2015-12-07,Vancouver Canucks,Buffalo Sabres,Radim Vrbata,Vancouver Canucks,3
20152016,2015-12-10,Calgary Flames,Buffalo Sabres,Rasmus Ristolainen,Buffalo Sabres,3
20152016,2015-12-11,Edmonton Oilers,New York Rangers,Lauri Korpikoski,Edmonton Oilers,3
20152016,2015-12-11,Anaheim Ducks,Carolina Hurricanes,Jeff Skinner,Carolina Hurricanes,3
20152016,2015-12-15,Philadelphia Flyers,Carolina Hurricanes,Jeff Skinner,Carolina Hurricanes,3
20152016,2015-12-18,Pittsburgh Penguins,Boston Bruins,Frank Vatrano,Boston Bruins,3
20152016,2015-12-21,Colorado Avalanche,Toronto Maple Leafs,Tyler Bozak,Toronto Maple Leafs,3
20152016,2015-12-22,Calgary Flames,Winnipeg Jets,Johnny Gaudreau,Calgary Flames,3
20152016,2015-12-28,Vancouver Canucks,Los Angeles Kings,Tyler Toffoli,Los Angeles Kings,3
20152016,2015-12-28,San Jose Sharks,Colorado Avalanche,Nathan MacKinnon,Colorado Avalanche,3
20152016,2015-12-29,Boston Bruins,Ottawa Senators,Jimmy Hayes,Boston Bruins,3
20152016,2015-12-29,Arizona Coyotes,Chicago Blackhawks,Shane Doan,Arizona Coyotes,3
20152016,2016-01-05,Columbus Blue Jackets,Minnesota Wild,Zach Parise,Minnesota Wild,3
20152016,2016-01-10,Winnipeg Jets,Buffalo Sabres,Sam Reinhart,Buffalo Sabres,3
20152016,2016-01-12,New York Islanders,Columbus Blue Jackets,Brock Nelson,New York Islanders,3
20152016,2016-01-12,Arizona Coyotes,Edmonton Oilers,Max Domi,Arizona Coyotes,3
20152016,2016-01-13,Calgary Flames,Florida Panthers,Sam Bennett,Calgary Flames,4
20152016,2016-01-15,Toronto Maple Leafs,Chicago Blackhawks,Patrick Kane,Chicago Blackhawks,3
20152016,2016-01-15,Tampa Bay Lightning,Pittsburgh Penguins,Vladislav Namestnikov,Tampa Bay Lightning,3
20152016,2016-01-17,Washington Capitals,New York Rangers,Justin Williams,Washington Capitals,3
20152016,2016-01-23,Pittsburgh Penguins,Vancouver Canucks,Jannik Hansen,Vancouver Canucks,3
20152016,2016-01-23,Pittsburgh Penguins,Vancouver Canucks,Evgeni Malkin,Pittsburgh Penguins,3
20152016,2016-01-25,Columbus Blue Jackets,Montréal Canadiens,Cam Atkinson,Columbus Blue Jackets,3
20152016,2016-01-26,Winnipeg Jets,Arizona Coyotes,Nikolaj Ehlers,Winnipeg Jets,3
20152016,2016-02-02,Pittsburgh Penguins,Ottawa Senators,Sidney Crosby,Pittsburgh Penguins,3
20152016,2016-02-07,New York Islanders,Edmonton Oilers,Kyle Okposo,New York Islanders,3
20152016,2016-02-11,Minnesota Wild,Washington Capitals,Alex Ovechkin,Washington Capitals,3
20152016,2016-02-11,Chicago Blackhawks,Dallas Stars,Patrick Eaves,Dallas Stars,3
20152016,2016-02-11,Edmonton Oilers,Toronto Maple Leafs,Jordan Eberle,Edmonton Oilers,3
20152016,2016-02-12,New York Rangers,Los Angeles Kings,Anze Kopitar,Los Angeles Kings,3
20152016,2016-02-17,New York Rangers,Chicago Blackhawks,Artemi Panarin,Chicago Blackhawks,3
